date,yield,close,close_1
2002/1/4,3.2096,99.8551,96.89021176
2002/1/7,3.2003,99.7501,96.89894312
2002/1/8,3.5225,99.8339,96.59735806
2002/1/9,3.5896,99.9334,96.53478728
2002/1/10,3.5784,100.0443,96.54522565
2002/1/11,3.4532,100.0892,96.66206555
2002/1/14,3.5114,100.0469,96.60771664
2002/1/15,3.5023,100.0179,96.61621046
2002/1/16,3.4414,100.2163,96.6730922
2002/1/17,3.4511,100.3708,96.66402774
2002/1/18,3.2968,100.3929,96.80842001
2002/1/21,3.2563,100.4684,96.84639097
2002/1/22,3.3182,100.4035,96.78836836
2002/1/23,3.1897,100.3915,96.90889692
2002/1/24,3.2581,100.3309,96.84470274
2002/1/25,3.0795,100.4282,97.01250006
2002/1/28,3.1584,100.4495,96.93830071
2002/1/29,3.81,100.5032,96.32983335
2002/1/30,3.2152,100.6027,96.88495493
2002/1/31,3.2186,100.6,96.88176356
2002/2/1,3.2016,100.6835,96.89772252
2002/2/4,3.218,100.6231,96.88232673
2002/2/5,3.1893,100.6675,96.90927257
2002/2/6,3.1897,100.6321,96.90889692
2002/2/7,3.2491,100.5632,96.85314448
2002/2/8,3.2085,100.7156,96.89124442
2002/2/25,3.1616,100.8042,96.93529375
2002/2/26,3.1512,100.9382,96.94506705
2002/2/27,3.1481,101.051,96.94798062
2002/2/28,3.1315,101.0444,96.96358533
2002/3/1,3.1155,101.1962,96.97863076
2002/3/4,3.0828,101.138,97.00939439
2002/3/5,3.085,101.23,97.00732405
2002/3/6,3.0864,101.1781,97.00600661
2002/3/7,3.084,101.0943,97.0082651
2002/3/8,3.0656,101.1028,97.02558371
2002/3/11,3.073,100.9791,97.01861787
2002/3/12,3.0044,100.9586,97.0832314
2002/3/13,2.9872,100.936,97.09944537
2002/3/14,2.9798,100.9732,97.10642281
2002/3/15,3.0188,101.2402,97.06966107
2002/3/18,3.0232,101.6925,97.06551534
2002/3/19,2.9442,101.8074,97.140004
2002/3/20,3.0009,101.8688,97.08653031
2002/3/21,2.9508,101.9443,97.13377652
